experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,major-faults,minor-faults,avg_memory_over_time,max_memory_over_time,cpu_total_utilization,cpu_user_utilization,cpu_system_utilization
docker_container_and_daemon,17,2025-02-17T18:51:44.090599,178807327221.0,132895592898.92,32995415744.04,115845640.65,28885.06,65897761444.36,28791814383.14,517856252.24,481.83,28403.43,212098059.51,222408704.0,46.98,44.62,2.36
wasm_interpreted,15,2025-02-17T18:53:17.251570,140517637876.0,119431085837.0,39254825329.0,116164178.0,72797.0,64810426022.0,22363762542.0,382589461.0,194.0,72603.0,209885004.35,250249216.0,42.33,40.96,1.37
wasm_aot,15,2025-02-17T18:54:44.725193,143323454391.0,108518610135.0,26126200292.0,109981970.0,68795.0,57048824068.0,23233350734.0,210146019.0,80.0,68715.0,168492145.78,195473408.0,53.13,50.89,2.23
wasm_aot,16,2025-02-17T18:55:53.646194,162105865997.0,126682962866.0,29596323856.0,110688591.0,68723.0,64410813283.0,27936606288.0,225967075.0,2.0,68721.0,168707748.23,193617920.0,54.07,51.75,2.31
wasm_aot,17,2025-02-17T18:57:11.800848,167736516663.0,130186184483.0,29477145533.0,115969944.0,68046.0,63782995831.0,27292422021.0,220274560.0,0.0,68046.0,163446128.64,170897408.0,54.02,51.69,2.33
wasm_aot,18,2025-02-17T18:58:29.628367,157790925329.0,121764480198.0,27755600207.0,115773044.0,68630.0,60283994877.0,25997599350.0,221346954.0,0.0,68630.0,162305280.0,165203968.0,53.44,51.35,2.0
native,17,2025-02-17T18:59:44.312188,160737226226.0,122047067726.0,28873539241.0,117436823.0,27457.0,64055081590.0,26125500868.0,199378082.0,20.0,27437.0,86720768.0,90308608.0,50.49,48.44,2.16
native,18,2025-02-17T19:01:07.058600,155260835778.0,117999758612.0,26427723188.0,111008540.0,27087.0,59412753492.0,24689705678.0,218451070.0,27.0,27060.0,135362342.13,142766080.0,52.28,50.18,2.09
docker_container,18,2025-02-17T19:02:20.478261,165805080389.0,128507419727.0,29547537249.0,118464700.0,30687.0,66092858185.0,28594404173.0,206182899.0,481.0,30206.0,165753096.26,181817344.0,47.11,44.53,2.58
docker_container_and_daemon,18,2025-02-17T19:02:20.478261,174601103079.27,133345700469.62,30494791040.86,151750802.44,31793.75,68546940003.95,29936674491.5,344822889.57,489.0,31304.77,208057483.64,219545600.0,47.19,44.57,2.63
wasm_interpreted,16,2025-02-17T19:03:53.923955,167318699185.0,132720883631.0,44253805660.0,120669331.0,74510.0,68941299917.0,25333908825.0,465595067.0,114.0,74396.0,187430347.03,219217920.0,43.75,42.39,1.41
