experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,major-faults,minor-faults,avg_memory_over_time,max_memory_over_time,cpu_total_utilization,cpu_user_utilization,cpu_system_utilization
docker_container_and_daemon,19,2025-03-09T17:32:11.393990,19571313045.99,21049561322.22,4312369834.56,72998386.58,50220.63,10140597617.75,3222517363.96,99471515.48,6.46,50207.79,190109328.41,224428032.0,14.5,13.49,1.02
native,15,2025-03-09T17:32:55.567851,63786391183.0,51751076268.0,11712473503.0,67461953.0,60430.0,25880576841.0,10320225515.0,146609392.0,560.0,59870.0,220124160.0,296341504.0,48.26,45.98,2.22
docker_container,20,2025-03-09T17:33:36.054246,35501685841.0,32438112202.0,6496844756.0,55455636.0,53340.0,16194195993.0,5812679848.0,114985053.0,132.0,53210.0,96226742.86,237973504.0,24.01,22.65,1.36
docker_container_and_daemon,20,2025-03-09T17:33:36.054246,50240955699.32,37786176342.78,10939818777.64,164845211.05,58114.19,24287954738.71,7137877333.65,254452615.69,144.06,57970.02,214076562.29,276283392.0,24.1,22.67,1.42
wasm_aot,10,2025-03-09T17:34:22.830876,66410875588.0,54221199612.0,12704937263.0,83209496.0,73498.0,29646657500.0,10924743218.0,160948866.0,757.0,72741.0,253124450.46,333492224.0,45.92,44.43,2.54
native,16,2025-03-09T17:35:04.131250,66717829111.0,55085186641.0,11559596181.0,67153078.0,60218.0,26654603192.0,10747599327.0,151283049.0,25.0,60193.0,188079144.96,251928576.0,49.13,46.94,2.17
wasm_aot,11,2025-03-09T17:35:43.330341,65834927359.0,56975775595.0,12308667195.0,71534730.0,73245.0,28659777687.0,11277613862.0,148502351.0,1.0,73244.0,202542345.48,267399168.0,49.52,47.06,2.44
docker_container,21,2025-03-09T17:36:22.704567,65950794934.0,54159135830.0,12353767225.0,75030428.0,61477.0,28259784904.0,10723455894.0,144027005.0,549.0,60929.0,136579481.6,297136128.0,44.53,42.05,2.48
docker_container_and_daemon,21,2025-03-09T17:36:22.704567,70678631115.55,59470509791.69,13225553325.05,153318065.04,65089.75,29691581327.98,11424017052.03,205119425.02,576.0,64514.8,221385003.71,331259904.0,44.63,42.07,2.56
native,17,2025-03-09T17:37:08.398500,65553888205.0,54690308139.0,12300725514.0,70824089.0,60564.0,27909751886.0,10727693026.0,137814269.0,324.0,60240.0,206977877.33,272568320.0,47.24,44.98,2.22
docker_container,22,2025-03-09T17:37:49.055698,18607447858.0,22343879168.0,4180642312.0,43337016.0,46397.0,9853587673.0,3138212960.0,86341951.0,0.0,46395.0,96495323.43,201527296.0,14.62,13.61,1.01
docker_container_and_daemon,22,2025-03-09T17:37:49.055698,21715403794.14,32027695183.74,5087543322.59,114610976.41,50436.01,10709240970.13,3579500328.65,97190635.71,1.16,50432.86,202656719.24,239538176.0,14.69,13.63,1.06
native,18,2025-03-09T17:38:36.115356,63490248405.0,50802371033.0,11568217323.0,68155647.0,59781.0,25775356947.0,9806473279.0,148465707.0,323.0,59458.0,197502464.0,271007744.0,45.4,43.18,2.18
wasm_aot,12,2025-03-09T17:39:15.379563,66118913820.0,57783380425.0,13330420658.0,73503077.0,73188.0,29978087027.0,11537530928.0,148499393.0,224.0,72964.0,220811117.71,287354880.0,47.88,45.45,2.4
wasm_aot,13,2025-03-09T17:39:57.556759,69196105282.0,53631429351.0,12658526811.0,75078674.0,72661.0,27393123508.0,10649609106.0,149597476.0,24.0,72637.0,204436766.72,280256512.0,47.65,45.31,2.31
wasm_aot,14,2025-03-09T17:40:37.870710,64030779674.0,55899341950.0,12025001149.0,69698874.0,73003.0,27097704851.0,10541760846.0,146128734.0,1.0,73002.0,208619690.67,264982528.0,50.8,48.41,2.38
native,19,2025-03-09T17:41:15.738191,60729122047.0,51037335496.0,11214551116.0,66641154.0,59916.0,26213259033.0,10241160887.0,147331566.0,18.0,59899.0,184712240.76,250744832.0,47.16,45.17,1.99
wasm_aot,15,2025-03-09T17:41:53.083376,70676720538.0,57356755382.0,12505305715.0,76936509.0,72623.0,26530915039.0,10668239318.0,139413460.0,0.0,72623.0,202746479.3,263311360.0,48.56,48.68,2.46
native,20,2025-03-09T17:42:32.776655,70522317014.0,53920462135.0,12153080593.0,69178763.0,59918.0,28485204493.0,11155477420.0,143627331.0,1.0,59917.0,185126420.48,249528320.0,49.36,47.29,2.29
wasm_aot,16,2025-03-09T17:43:12.605877,67671554750.0,55153369251.0,12230243573.0,72153701.0,72847.0,27678612687.0,11044152291.0,145942547.0,20.0,72827.0,201201033.85,265125888.0,48.67,46.08,2.52
native,21,2025-03-09T17:43:52.587858,61000934676.0,50054944236.0,11454577686.0,67524568.0,59797.0,25352311603.0,9588843333.0,137349248.0,25.0,59772.0,179479418.43,250859520.0,48.9,46.76,2.12
native,22,2025-03-09T17:44:31.332949,65665738241.0,53619479681.0,11544048499.0,68567113.0,60140.0,25901922459.0,10423770821.0,138832728.0,0.0,60140.0,171493717.33,240939008.0,48.76,46.4,2.34
docker_container,23,2025-03-09T17:45:09.807915,2458906771.0,7053364492.0,1570255264.0,22404136.0,19074.0,4035653946.0,486135045.0,35933447.0,518.0,18557.0,75458560.0,132956160.0,3.62,3.21,0.4
docker_container_and_daemon,23,2025-03-09T17:45:09.807915,2712893550.6,7798955523.7,2134915998.0,29247380.9,21106.0,4617752951.95,554057926.45,47616136.2,569.7,20537.4,156122225.78,167841792.0,3.66,3.22,0.42
docker_container,24,2025-03-09T17:46:00.331054,30655414949.0,27653265344.0,5829839854.0,53470789.0,50527.0,13206096955.0,4715440900.0,90483441.0,1.0,50524.0,72834252.8,216117248.0,22.79,21.46,1.33
docker_container_and_daemon,24,2025-03-09T17:46:00.331054,34531912920.84,31280723256.07,6576058318.49,81039281.51,57513.77,14943547929.95,5310158234.87,102965381.24,6.61,57502.0,173505331.2,252162048.0,22.98,21.51,1.47
native,23,2025-03-09T17:46:45.546924,70087631612.0,57613156321.0,12633250830.0,71751441.0,60625.0,27832783166.0,11283027521.0,149887987.0,306.0,60319.0,207064457.85,272707584.0,49.95,47.71,2.21
wasm_aot,17,2025-03-09T17:47:28.436113,66546390919.0,54263879566.0,12038151427.0,70051651.0,72798.0,28129967944.0,10630407235.0,136922879.0,219.0,72579.0,217303267.56,287219712.0,47.1,44.66,2.41
native,24,2025-03-09T17:48:10.654091,66448299039.0,53792323170.0,12315236349.0,68337924.0,59973.0,27432876400.0,10865487139.0,148914169.0,2.0,59971.0,176827050.67,248643584.0,47.77,45.54,2.22
wasm_aot,18,2025-03-09T17:48:51.472346,66858328031.0,56879137568.0,12047896373.0,74440665.0,72277.0,27906766415.0,10632636403.0,138829329.0,0.0,72276.0,193872478.81,262111232.0,46.97,45.01,2.25
wasm_aot,19,2025-03-09T17:49:32.624945,64220035226.0,52426252119.0,12073853237.0,68424172.0,72757.0,27862681091.0,10521457702.0,149343333.0,1.0,72756.0,209146958.77,272216064.0,48.46,46.01,2.41
wasm_aot,20,2025-03-09T17:50:11.797196,67172743478.0,53147398347.0,11823024174.0,71416060.0,72423.0,27394140401.0,10644626762.0,143600968.0,10.0,72413.0,199939308.31,264499200.0,47.87,45.4,2.45
wasm_aot,21,2025-03-09T17:50:52.197823,69479953254.0,57954829847.0,12658375157.0,74594570.0,72651.0,27790641274.0,10778771423.0,150457511.0,0.0,72648.0,194368748.31,263561216.0,48.59,46.12,2.45
docker_container,25,2025-03-09T17:51:33.572781,36410079865.0,31483644402.0,6505239300.0,54068111.0,53522.0,15418826826.0,5483008289.0,117615621.0,521.0,53002.0,95185773.71,268337152.0,24.83,23.18,1.65
docker_container_and_daemon,25,2025-03-09T17:51:33.572781,40335710691.71,34336008523.55,7371740677.12,66417136.45,59745.57,17557839605.67,6257386037.8,154978609.37,573.99,59171.59,206587454.44,302452736.0,25.09,23.28,1.81
wasm_aot,22,2025-03-09T17:52:20.508259,62355697181.0,53250179898.0,12046663309.0,71089027.0,73326.0,27926731971.0,10161270131.0,153526853.0,377.0,72949.0,221115221.33,301989888.0,46.91,44.16,2.73
native,25,2025-03-09T17:52:59.965544,66375107173.0,57114966950.0,12295390296.0,69278036.0,59727.0,27287195736.0,11224513630.0,148534939.0,24.0,59703.0,176946569.85,243281920.0,50.25,47.97,2.26
wasm_aot,23,2025-03-09T17:53:41.279108,65317974930.0,55206877627.0,11857600098.0,66387111.0,72640.0,27537947794.0,10666898881.0,147279802.0,0.0,72640.0,214416649.48,277422080.0,47.35,44.85,2.59
wasm_aot,24,2025-03-09T17:54:21.605826,63898529099.0,54402624636.0,11808132210.0,70095085.0,72587.0,27834416989.0,10860246345.0,143103177.0,40.0,72547.0,205460650.67,266543104.0,48.23,45.88,2.32
wasm_aot,25,2025-03-09T17:55:01.299065,62895512702.0,54462604382.0,11262838639.0,67421494.0,72942.0,28192522156.0,10275499773.0,165366691.0,0.0,72942.0,206245232.64,274698240.0,48.78,46.31,2.44
