experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,major-faults,minor-faults,avg_memory_over_time,max_memory_over_time,cpu_total_utilization,cpu_user_utilization,cpu_system_utilization
docker_container_and_daemon,11,2025-02-17T14:49:47.102689,135047750118.44,115616167426.08,21837946500.68,174771560.62,24370.08,48723091407.11,19643665464.32,223286188.63,1.08,24366.07,137979156.32,146636800.0,49.41,46.82,2.59
wasm_aot,15,2025-02-17T14:50:53.407805,110708689844.0,88204949643.0,19360675286.0,80756061.0,47829.0,42350963470.0,18036258809.0,185045368.0,237.0,47592.0,152380188.44,166187008.0,51.41,49.26,2.14
wasm_interpreted,8,2025-02-17T14:51:49.397410,121967013827.0,103499221601.0,36081482507.0,88237948.0,52237.0,51734966524.0,18541189196.0,402007584.0,152.0,52085.0,134376886.86,153341952.0,40.82,39.57,1.25
docker_container,12,2025-02-17T14:53:04.697946,107810707818.0,84236840154.0,19709074284.0,79237188.0,21305.0,44346969259.0,18616703795.0,185059125.0,433.0,20873.0,118807498.11,136302592.0,45.94,43.68,2.27
docker_container_and_daemon,12,2025-02-17T14:53:04.697946,113892926836.63,86661779049.36,20548622746.89,96268534.34,22402.14,45622609606.09,19448232094.79,276886250.46,445.0,21958.17,164420061.87,173756416.0,46.02,43.7,2.32
wasm_aot,16,2025-02-17T14:54:08.797775,112864065107.0,87588871381.0,20298770650.0,82800735.0,46354.0,43127222928.0,18248191070.0,189130765.0,219.0,46135.0,147342336.0,167399424.0,53.76,51.53,2.21
wasm_interpreted,9,2025-02-17T14:55:02.955396,101790390070.0,90207562925.0,36049190396.0,84697304.0,52197.0,51047629134.0,18072990029.0,490668855.0,0.0,52197.0,127099972.27,142618624.0,41.16,39.9,1.26
native,13,2025-02-17T14:56:12.641995,92951740288.0,73988489284.0,16868591471.0,72843117.0,23662.0,36683640384.0,15128279142.0,184012298.0,18.0,23644.0,105079913.93,114278400.0,51.47,51.67,2.12
wasm_aot,17,2025-02-17T14:56:59.724398,113396559047.0,87642003954.0,19873877124.0,81642116.0,46189.0,43290075702.0,18220164271.0,174875034.0,0.0,46189.0,115424109.71,128266240.0,53.45,51.43,2.13
native,14,2025-02-17T14:57:53.953108,109696706550.0,85121506401.0,20235544773.0,79017200.0,23347.0,44747542894.0,18526906211.0,174597056.0,25.0,23322.0,87844220.34,95391744.0,53.35,51.34,1.99
docker_container,13,2025-02-17T14:58:49.099652,127182479554.0,92707566505.0,21278635460.0,81737750.0,23826.0,45330227502.0,19483637800.0,171429055.0,251.0,23573.0,114012569.6,128864256.0,45.98,43.64,2.34
docker_container_and_daemon,13,2025-02-17T14:58:49.099652,134896636592.36,100011234457.76,22329230823.5,85229104.55,25412.24,46625899575.08,20376865102.64,224557793.62,257.58,25151.63,157944925.09,166150144.0,46.12,43.68,2.44
wasm_interpreted,10,2025-02-17T14:59:59.915199,110919389252.0,98937538076.0,32761364393.0,81944792.0,51767.0,44633907008.0,17219255930.0,449730515.0,21.0,51746.0,129187750.96,150884352.0,39.64,38.51,1.13
docker_container,14,2025-02-17T15:01:12.522200,113934361105.0,89871781385.0,21180875552.0,85863208.0,23634.0,44961970852.0,19151065822.0,181826010.0,26.0,23609.0,99879936.0,115331072.0,48.3,45.86,2.44
docker_container_and_daemon,14,2025-02-17T15:01:12.522200,121520284147.95,93130228515.25,22226732381.67,89327623.84,24467.11,46505202715.09,20325351908.38,267175086.48,26.1,24441.31,144013547.02,152985600.0,48.37,45.88,2.49
wasm_interpreted,11,2025-02-17T15:02:17.232585,124603328034.0,104748767073.0,33776433961.0,85431058.0,52440.0,50584525983.0,18094826215.0,398309065.0,0.0,52440.0,155577258.67,177405952.0,42.23,40.93,1.3
native,15,2025-02-17T15:03:30.866270,117238069147.0,89354929898.0,20540187280.0,78066249.0,22436.0,45721981861.0,19321508340.0,187013137.0,2.0,22434.0,71902180.32,76648448.0,54.15,52.32,1.95
wasm_aot,18,2025-02-17T15:04:26.321961,110871506010.0,84246253375.0,19922651671.0,80078973.0,46687.0,42100413401.0,17170183006.0,170192067.0,90.0,46597.0,121032821.03,131321856.0,54.02,51.88,2.06
wasm_interpreted,12,2025-02-17T15:05:19.946991,107753885115.0,114562495291.0,33718728870.0,86388166.0,52585.0,47238477543.0,18186370953.0,462641792.0,0.0,52585.0,125923862.26,143855616.0,41.29,40.11,1.17
docker_container,15,2025-02-17T15:06:29.927024,106650840674.0,81360206543.0,19192207345.0,77123161.0,21747.0,40891520882.0,17563156826.0,169910057.0,0.0,21741.0,68634487.47,76500992.0,41.89,39.8,2.08
